E_norm,J_crit_norm,J_norm,Lprime,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.5015052076853178,0.7769230769230769,0.7445886172718723,3.895392041117595e-07,502377.16146337375,490632.1872278335,194769.60205587975,0.5015052076853178,0.36,0.48,0.3,0.12,0.29,0.0,3871860809.813736,0.08769597226222553,1808.5577812681454,3.96,5.279999999999999,10.76,14.399999999999999,5.76,13.919999999999998,0
0.07345267319927239,0.7769230769230769,0.6122308937381991,3.8107105540998663e-07,399877.8895040911,310850.1227436944,190535.52770499332,0.07345267319927239,0.71,0.87,0.3,0.16,0.57,1.0,3183600647.438635,0.17648427859136226,1439.560402214728,7.81,9.57,2.620000000000001,14.399999999999999,7.68,27.36,0
0.30547533919121184,0.7769230769230769,0.7361900762984093,3.871381887009616e-07,458291.04320064635,408299.64246030897,193569.0943504808,0.30547533919121184,0.5,0.91,0.12,0.21,0.39,2.0,3828188396.751728,0.12237154145238989,1649.847755522327,5.5,10.01,4.49,5.76,10.08,18.72,0
0.5093357998357225,0.7769230769230769,0.7581269902814229,3.8762459939306006e-07,504058.1384725305,493921.03593100345,193812.29969653004,0.5093357998357225,0.69,0.83,0.11,0.19,0.2,3.0,3942260349.4633994,0.0845038595822457,1814.6092985011098,7.59,9.129999999999999,3.280000000000001,5.28,9.120000000000001,9.600000000000001,0
0.2868870658047594,0.7769230769230769,0.44210618524401096,3.776702666827737e-07,453888.4172206166,400492.56763799896,188835.13334138686,0.2868870658047594,0.51,0.69,0.47,0.21,0.23,4.0,2298952163.268857,0.11603866980725755,1633.9983019942197,5.61,7.59,6.800000000000001,22.56,10.08,11.040000000000001,0
0.7445316530227112,0.7769230769230769,0.6203353410576931,3.881997335905731e-07,552167.1176906646,592703.2942695387,194099.86679528657,0.7445316530227112,0.43,0.2,0.27,0.18,0.11,5.0,3225743773.500004,0.05152376984539186,1987.8016236863925,4.7299999999999995,2.2,13.07,12.96,8.64,5.28,0
0.3941007557988954,0.7769230769230769,0.5703598919815901,3.8436203257691387e-07,478725.5443664767,445522.31743553607,192181.01628845694,0.3941007557988954,0.39,0.57,0.46,0.13,0.28,6.0,2965871438.3042684,0.10144299494772195,1723.4119597193162,4.29,6.27,9.440000000000001,22.080000000000002,6.24,13.440000000000001,0
0.36617123786481415,0.7769230769230769,0.363051998995041,3.70333312942891e-07,472381.1932325041,433791.91990322195,185166.6564714455,0.36617123786481415,0.22,0.78,0.64,0.23,0.13,7.0,1887870394.774213,0.09198566565351642,1700.5722956370148,2.42,8.58,8.999999999999998,30.72,11.040000000000001,6.24,0
0.5442274605695189,0.7769230769230769,0.48606341859101165,3.822613957508532e-07,511481.1127733528,508575.5334391979,191130.69787542662,0.5442274605695189,0.3,0.49,0.53,0.14,0.16,8.0,2527529776.6732607,0.07368085175047379,1841.33200598407,3.3,5.39,11.309999999999999,25.44,6.720000000000001,7.68,0
0.27066708959379093,0.7769230769230769,0.4730466987947992,3.804220899247099e-07,450011.53256220865,393680.1776293922,190211.04496235496,0.27066708959379093,0.62,0.48,0.24,0.35,0.28,9.0,2459842833.732956,0.12268037861020947,1620.0415172239511,6.82,5.279999999999999,7.9,11.52,16.799999999999997,13.440000000000001,0
